symbol,organ_name
MSB,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam
MRF,Công ty Cổ phần MERUFA
MQN,Công ty Cổ phần Môi trường đô thị Quảng Ngãi
MQB,Công ty Cổ phần Môi trường và Phát triển đô thị Quảng Bình
MPY,Công ty Cổ phần Môi trường đô thị Phú Yên
MPT,Công ty Cổ phần Tập đoàn MPT
MPC,Công ty Cổ phần Tập đoàn Thủy sản Minh Phú
MND,Công ty Cổ phần Môi trường Nam Định
MNB,Tổng Công ty May Nhà Bè - Công ty Cổ phần
MML,Công ty Cổ phần Masan MEATLife
MLS,Công ty Cổ phần Chăn nuôi - Mitraco
MLC,Công ty Cổ phần Môi trường Đô thị Tỉnh Lào Cai
MKV,Công ty Cổ phần Dược Thú Y Cai Lậy
MKP,Công ty Cổ phần Hóa - Dược phẩm Mekophar
MIM,Công ty Cổ phần Khoáng sản và Cơ khí
MIG,Tổng Công ty Cổ phần Bảo hiểm Quân đội
MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP
MIC,Công ty Cổ phần Kỹ nghệ Khoáng sản Quảng Nam
MHL,Công ty Cổ phần Minh Hữu Liên
MHC,Công ty Cổ phần MHC
MH3,Công ty Cổ phần Khu công nghiệp Cao su Bình Long
MGR,Công ty cổ phần Tập đoàn MGROUP
MGG,Tổng Công ty Đức Giang - Công ty Cổ phần
MGC,Công ty Cổ phần Địa chất mỏ - TKV
MFS,Công ty Cổ phần Dịch vụ kỹ thuật Mobifone
MES,Công ty Cổ phần Cơ điện Công trình
MEL,Công ty Cổ phần Thép Mê Lin
MEG,Công ty Cổ phần Megram
MEF,Công ty Cổ phần MEINFA
MED,Công ty Cổ phần Dược Trung ương Mediplantex
MEC,Công ty Cổ phần Cơ khí - Lắp máy Sông Đà
MDG,Công ty Cổ phần Miền Đông
MDF,Công ty Cổ phần Gỗ MDF VRG - Quảng Trị
MDC,Công ty Cổ phần Than Mông Dương - Vinacomin
MDA,Công ty Cổ phần Môi trường Đô thị Đông Anh
MCP,Công ty Cổ phần In và Bao bì Mỹ Châu
MCO,Công ty Cổ phần Đầu tư và Xây dựng BDC Việt Nam
MCM,Công ty Cổ phần Giống bò sữa Mộc Châu
MCI,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Vật liệu IDICO
MCH,Công ty Cổ phần Hàng Tiêu Dùng MaSan
MCG,Công ty Cổ phần Năng lượng và Bất động sản MCG
MCF,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm
MCD,Công ty Cổ phần Môi trường và Công trình Đô thị Đông Hà
MCC,Công ty Cổ phần Gạch ngói cao cấp
MC3,Công ty Cổ phần Khoáng sản 3 - Vimico
MBT,Công ty Cổ phần Bất động sản cho thuê Minh Bảo Tín
MBS,Công ty Cổ phần Chứng khoán MB
MBN,Công ty Cổ phần Môi trường và Công trình đô thị Bắc Ninh
MBG,Công ty Cổ phần Tập đoàn MBG
MBB,Ngân hàng Thương mại Cổ phần Quân đội
MAS,Công ty cổ phần Dịch vụ Hàng Không Sân Bay Đà Nẵng
MAC,Công ty Cổ phần Cung ứng và Dịch vụ Kỹ thuật Hàng Hải
MA1,Công ty Cổ phần Thiết bị
M10,Tổng công ty May 10 - Công ty Cổ phần
LYF,Công ty Cổ phần Lương Thực Lương Yên
LWS,Công ty Cổ phần Cấp nước Tỉnh Lào Cai
LUT,Công ty Cổ phần Đầu tư Xây dựng Lương Tài
LTG,Công ty Cổ phần Tập đoàn Lộc Trời
LTC,Công ty Cổ phần Điện nhẹ Viễn Thông
LSS,Công ty Cổ phần Mía đường Lam Sơn
LSG,Công ty Cổ phần Bất động sản Sài Gòn Vi na
LQN,Công ty Cổ phần Licogi Quảng Ngãi
LPT,Công ty Cổ phần Thương mại và Sản xuất Lập Phương Thành
LPB,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam
LO5,Công ty Cổ phần Lilama 5
LNC,Công ty Cổ phần Lệ Ninh
LMI,Công ty Cổ phần Đầu tư Xây dựng Lắp máy IDICO
LMH,Công ty Cổ phần Quốc Tế Holding
LMC,Công ty Cổ phần Long Beach LMC
LM8,Công ty Cổ phần Lilama 18
LM7,Công ty Cổ phần Lilama 7
LM3,Công ty Cổ phần Lilama 3
LLM,Tổng Công ty lắp máy Việt Nam - Công ty Cổ phần
LKW,Công ty Cổ phần Cấp nước Long Khánh
LIX,Công ty Cổ phần Bột Giặt LiX
LIG,Công ty Cổ phần Licogi 13
LIC,Tổng Công ty LICOGI - Công ty Cổ phần
LHG,Công ty Cổ phần Long Hậu
LHC,Công ty Cổ phần Đầu tư và Xây dựng Thủy lợi Lâm Đồng
LGM,Công ty Cổ phần Giày da và May mặc Xuất khẩu (Legamex)
LGL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang
LGC,Công ty Cổ phần Đầu tư Cầu đường CII
LG9,Công ty Cổ phần Cơ giới và Xây lắp số 9
LEC,Công ty Cổ phần Bất động sản Điện lực Miền Trung
LDW,Công ty Cổ phần Cấp thoát nước Lâm Đồng
LDP,Công ty Cổ phần Dược Lâm Đồng - Ladophar
LDG,Công ty Cổ phần Đầu tư LDG
LCW,Công ty Cổ phần Nước sạch Lai Châu
LCS,Công ty Cổ phần Licogi 16.6
LCM,Công ty Cổ phần Khai thác và Chế biến Khoáng sản Lào Cai
LCG,Công ty Cổ phần Lizen
LCD,Công ty Cổ phần Lắp máy - Thí nghiệm cơ điện
LCC,Công ty Cổ phần Xi măng Hồng Phong
LBM,Công ty Cổ phần Khoáng sản và Vật liệu xây dựng Lâm Đồng
LBE,Công ty Cổ phần Thương mại và Dịch vụ LVA
LBC,Công ty Cổ phần Thương mại - Đầu tư Long Biên
LAW,Công ty Cổ phần Cấp thoát nước Long An
LAS,Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao
LAI,Công ty Cổ phần Đầu tư Xây dựng Long An IDICO
LAF,Công ty Cổ phần Chế biến Hàng Xuất khẩu Long An
L63,Công ty Cổ phần Lilama 69-3
L62,Công ty Cổ phần Lilama 69 - 2
L61,Công ty Cổ phần Lilama 69-1
L45,Công ty Cổ phần Lilama 45.1
L44,Công ty Cổ phần Lilama 45.4
L43,Công ty Cổ phần Lilama 45.3
L40,Công ty Cổ phần Đầu tư và Xây dựng 40
L35,Công ty Cổ phần Cơ khí Lắp máy Lilama
L18,Công ty Cổ phần Đầu tư và Xây dựng số 18
L14,Công ty Cổ phần Licogi 14
L12,Công ty Cổ phần Licogi 12
L10,Công ty Cổ phần Lilama 10
KWA,Công ty Cổ phần Cấp thoát nước và Môi trường Kiến Tường
KVC,Công ty Cổ phần Sản xuất Xuất nhập khẩu Inox Kim Vĩ
KTW,Công ty Cổ phần Cấp nước Kon Tum
KTT,Công ty Cổ phần Tập đoàn Đầu tư KTT
KTS,Công ty Cổ phần Đường Kon Tum
KTL,Công ty Cổ phần Kim khí Thăng Long
KTC,Công ty Cổ phần Thương mại Kiên Giang
KSV,Tổng Công ty Khoáng sản TKV - Công ty Cổ phần
KST,Công ty Cổ phần KASATI
KSQ,Công ty Cổ phần CNC Capital Việt Nam
KSH,Công ty Cổ phần Damac GLS
KSF,Công ty Cổ phần Tập đoàn Sunshine
KSD,Công ty Cổ phần Đầu tư DNA
KSB,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương
KPF,Công ty Cổ phần Đầu tư Tài sản KOJI
KOS,Công ty Cổ phần KOSY
KMT,Công ty Cổ phần Kim khí Miền Trung
KMR,Công ty Cổ phần Mirae
KLM,Công ty Cổ phần Kim loại màu Nghệ Tĩnh
KLF,Công ty Cổ phần Đầu tư Thương mại và Xuất nhập khẩu CFS
KLB,Ngân hàng Thương mại Cổ phần Kiên Long
KKC,Công ty Cổ phần Tập đoàn Thành Thái
KIP,Công ty Cổ phần K.I.P Việt Nam
KHW,Công ty Cổ phần Cấp thoát nước Khánh Hòa
KHS,Công ty Cổ phần Kiên Hùng
KHP,Công ty Cổ phần Điện lực Khánh Hòa
KHL,Công ty Cổ phần Khoáng sản và Vật liệu Xây dựng Hưng Long
KHG,Công ty Cổ phần Tập đoàn Khải Hoàn Land
KHD,"Công ty Cổ phần Khai thác, Chế biến Khoáng sản Hải Dương"
KHB,Công ty Cổ phần Khoáng sản Hòa Bình
KHA,Công ty Cổ phần Đầu tư và Dịch vụ Khánh Hội
KGM,Công ty Cổ phần Xuất nhập khẩu Kiên Giang
KDM,Công ty Cổ phần Tập đoàn GCL
KDH,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền
KDC,Công ty Cổ phần Tập đoàn KIDO
KCE,Công ty Cổ phần Bê tông Ly tâm Điện lực Khánh Hòa
KCB,Công ty Cổ phần Khoáng Sản và Luyện Kim Cao Bằng
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc
KAC,Công ty Cổ phần Đầu tư Địa ốc Khang An
JVC,Công ty Cổ phần Đầu tư và Phát triển Y tế Việt Nhật
JOS,Công ty Cổ phần Chế biến Thủy sản Xuất khẩu Minh Hải
IVS,Công ty Cổ phần Chứng khoán Guotai Junan (Việt Nam)
ITS,"Công ty Cổ phần Đầu tư, Thương mại và Dịch vụ - Vinacomin"
ITQ,Công ty Cổ phần Tập đoàn Thiên Quang
ITD,Công ty Cổ phần Công nghệ Tiên Phong
ITC,Công ty Cổ phần Đầu tư - Kinh doanh nhà
ITA,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo
IST,Công ty Cổ phần ICD Tân Cảng Sóng Thần
ISH,Công ty Cổ phần Thủy điện Srok Phu Miêng IDICO
ISG,Công ty Cổ phần Vận tải biển và Hợp tác lao động Quốc Tế
IRC,Công ty Cổ phần Cao su Công nghiệp
IPH,
IPA,Công ty Cổ phần Tập đoàn Đầu tư I.P.A
INN,Công ty Cổ phần Bao bì và In Nông nghiệp
ING,Công ty Cổ phần Đầu Tư Và Phát Triển Xây Dựng
INC,Công ty Cổ phần Tư vấn Đầu tư IDICO
IN4,Công ty Cổ phần In số 4
IMP,Công ty Cổ phần Dược phẩm IMEXPHARM
IME,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp
ILS,Công ty Cổ phần Đầu tư Thương mại và Dịch vụ Quốc tế
ILC,Công ty Cổ phần Hợp tác lao động với nước ngoài
ILB,Công ty Cổ phần ICD Tân Cảng - Long Bình
ILA,Công ty Cổ phần ILA
IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật
IHK,Công ty Cổ phần In Hàng Không
IFS,Công ty Cổ phần Thực phẩm Quốc tế
IDV,Công ty Cổ phần Phát triển Hạ tầng Vĩnh Phúc
IDP,Công ty Cổ phần Sữa Quốc tế LOF
IDJ,Công ty Cổ phần Đầu tư IDJ Việt Nam
IDI,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I
IDC,Tổng Công ty IDICO - CTCP
ICT,Công ty Cổ phần Viễn thông - Tin học Bưu điện
ICN,Công ty Cổ phần Đầu tư Xây dựng Dầu khí IDICO
ICI,Công ty Cổ phần Đầu tư và Xây dựng Công nghiệp
ICG,Công ty Cổ phần Xây dựng Sông Hồng
ICF,Công ty Cổ phần Đầu tư - Thương mại - Thuỷ sản
ICC,Công ty Cổ phần Xây dựng công nghiệp
IBN,Công ty Cổ phần In báo Nghệ An
IBD,Công ty Cổ phần In Tổng hợp Bình Dương
IBC,Công ty Cổ phần Đầu tư APAX Holdings
HWS,Công ty Cổ phần Cấp nước Huế
HVX,Công ty Cổ phần Xi măng Vicem Hải Vân
HVT,Công ty Cổ phần Hóa chất Việt Trì
HVN,Tổng Công ty Hàng không Việt Nam - CTCP
HVH,Công ty Cổ phần Đầu tư và Công nghệ HVC
HVG,Công ty Cổ phần Hùng Vương
HVA,Công ty Cổ phần Đầu tư HVA
HUX,
HUT,Công ty Cổ phần Tasco
HUG,Tổng công ty May Hưng Yên - Công ty Cổ phần
HUB,Công ty Cổ phần Xây lắp Thừa Thiên Huế
HU6,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD6
HU4,Công ty Cổ phần Đầu tư và Xây dựng HUD4
HU3,Công ty Cổ phần Đầu tư và Xây dựng HUD3
HU1,Công ty Cổ phần Đầu tư và Xây dựng HUD1
HTW,Công ty Cổ phần Cấp nước Hà Tĩnh
HTV,Công ty Cổ phần Logistics Vicem
HTT,Công ty Cổ phần Thương mại Hà Tây
HTR,Công ty Cổ phần Đường sắt Hà Thái
HTP,Công ty Cổ phần In Sách Giáo Khoa Hòa Phát
HTN,Công ty Cổ phần Hưng Thịnh Incons
HTM,Tổng Công ty Thương mại Hà Nội – Công ty cổ phần
HTL,Công ty Cổ phần Kỹ thuật và Ô tô Trường Long
HTK,
HTI,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO
HTH,Công ty Cổ phần Hoa tiêu Hàng hải - TKV
HTG,Tổng Công ty Cổ phần Dệt may Hòa Thọ
HTE,Công ty Cổ phần Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh
HTC,Công ty Cổ phần Thương mại Hóc Môn
HT1,Công ty Cổ phần Xi măng VICEM Hà Tiên
HSV,Công ty Cổ phần Tập đoàn HSV Việt Nam
HSP,Công ty Cổ phần Sơn Tổng hợp Hà Nội
HSM,Tổng Công ty Cổ phần Dệt May Hà Nội
HSL,Công ty Cổ phần Đầu tư Phát triển Thực phẩm Hồng Hà
HSI,Công ty Cổ phần Vật tư Tổng hợp và Phân bón Hóa sinh
HSG,Công ty Cổ phần Tập đoàn Hoa Sen
HSA,Công ty Cổ phần HESTIA
HRT,Công ty Cổ phần Vận tải đường sắt Hà Nội
HRC,Công ty Cổ phần Cao su Hòa Bình
HRB,Công ty Cổ phần Harec Đầu tư và Thương Mại
HQC,Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân
HPX,Công ty Cổ phần Đầu tư Hải Phát
HPW,Công ty Cổ phần Cấp nước Hải Phòng
HPT,Công ty Cổ phần Dịch vụ Công nghệ Tin học HPT
HPP,Công ty Cổ phần Sơn Hải Phòng
HPM,Công ty Cổ phần Xây dựng Thương mại và Khoáng sản Hoàng Phúc
HPI,Công ty Cổ phần Khu công nghiệp Hiệp Phước
HPH,Công ty Cổ phần Hóa Chất Hưng Phát Hà Bắc
HPG,Công ty Cổ phần Tập đoàn Hòa Phát
HPD,Công ty Cổ phần Thủy điện Đăk Đoa
HPB,Công ty Cổ phần Bao bì PP
HOT,Công ty Cổ phần Du lịch - Dịch vụ Hội An
HOM,Công ty Cổ phần Xi măng VICEM Hoàng Mai
HNT,Công ty Cổ phần Xe điện Hà Nội
HNR,Công ty Cổ phần Rượu và Nước Giải Khát Hà Nội
HNP,Công ty Cổ phần Hanel Xốp Nhựa
HNM,Công ty Cổ phần Sữa Hà Nội
HNI,Công ty Cổ phần May Hữu Nghị
HNG,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai
HNF,Công ty Cổ phần Thực phẩm Hữu Nghị
HNE,
HND,Công ty Cổ phần Nhiệt điện Hải Phòng
HNB,Công ty Cổ phần Bến xe Hà Nội
HNA,Công ty Cổ phần Thủy điện Hủa Na
HMS,Công ty Cổ phần Xây dựng Bảo tàng Hồ Chí Minh
HMR,Công ty cổ phần Đá Hoàng Mai
HMH,Công ty Cổ phần Hải Minh
HMG,Công ty Cổ phần Kim Khí Hà Nội - VNSTEEL
HMD,Công ty Cổ phần Hóa chất Minh Đức
HMC,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - VNSTEEL
HLY,Công ty Cổ phần Gốm xây dựng Yên Hưng
HLT,Công ty Cổ phần Dệt may Hoàng Thị Loan
HLS,Công ty Cổ phần Sứ kỹ thuật Hoàng Liên Sơn
HLR,Công ty Cổ phần Đường sắt Hà Lạng
HLO,Công Ty Cổ Phần Công Nghệ Ha Lô
HLG,Công ty Cổ phần Tập đoàn Hoàng Long
HLE,Công ty Cổ phần Điện chiếu sáng Hải Phòng
HLD,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND
HLC,Công ty Cổ phần Than Hà Lầm - Vinacomin
HLB,Công ty Cổ phần Bia và Nước giải khát Hạ Long
HLA,Công ty Cổ phần Hữu Liên Á Châu
HKT,Công ty Cổ phần Đầu tư QP Xanh
HKP,Công ty Cổ phần Bao bì Hà Tiên
HKB,Công ty Cổ phần Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc
HJS,Công ty Cổ phần Thủy điện Nậm Mu
HJC,Công ty Cổ phần Hoà Việt
HIO,Công ty Cổ Phần Helio Energy
HII,Công ty Cổ phần An Tiến Industries
HIG,Công ty Cổ phần Tập đoàn HIPT
HID,Công ty Cổ phần Halcom Vietnam
HHV,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả
HHS,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy
HHR,Công ty Cổ phần Đường sắt Hà Hải
HHP,Công ty Cổ phần HHP Global
HHN,Công ty Cổ phần Vận tải và Dịch vụ Hàng hóa Hà Nội
HHG,Công ty Cổ phần Hoàng Hà
HHC,Công ty Cổ phần Bánh kẹo Hải Hà
HGW,Công ty Cổ phần Cấp thoát nước - Công trình Đô thị Hậu Giang
HGT,Công ty Cổ phần Du lịch Hương Giang
HGR,
HGM,Công ty Cổ phần Cơ khí và Khoáng sản Hà Giang
HGC,
HGA,
HFX,Công ty Cổ phần Sản xuất - Xuất nhập khẩu Thanh Hà
HFC,Công ty Cổ phần Xăng dầu HFC
HFB,Công ty Cổ phần Công trình Cầu phà Thành phố Hồ Chí Minh
HEV,Công ty Cổ phần Sách Đại học - Dạy nghề
HES,Công ty Cổ phần Dịch vụ Giải trí Hà Nội
HEP,Công ty Cổ phần Môi trường và Công trình đô thị Huế
HEM,Công ty Cổ phần Chế tạo Điện cơ Hà Nội
HEJ,Tổng Công ty Tư vấn Xây dựng Thủy Lợi Việt Nam - CTCP
HEC,Công ty Cổ phần Tư vấn xây dựng Thủy Lợi II
HDW,Công ty Cổ phần Kinh doanh Nước sạch Hải Dương
HDS,Công ty Cổ phần Giống cây trồng Hải Dương
HDP,Công ty Cổ phần Dược Hà Tĩnh
HDO,Công ty Cổ phần Hưng Đạo Container
HDM,Công ty Cổ phần Dệt May Huế
HDG,Công ty Cổ phần Tập đoàn Hà Đô
HDC,Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu
HDB,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh
HDA,Công ty Cổ phần Hãng sơn Đông Á
HD8,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD8
HD6,Công ty Cổ phần Đầu tư và Phát triển nhà số 6 Hà Nội
HD2,Công ty Cổ phần Đầu tư phát triển nhà HUD2
HCT,Công ty Cổ phần Thương mại - Dịch vụ - Vận tải Xi măng Hải Phòng
HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh
HCI,Công ty Cổ phần Đầu tư - Xây dựng Hà Nội
HCD,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD
HCC,Công ty Cổ phần Bê tông Hòa Cầm - Intimex
HCB,Công ty Cổ phần Dệt may 29/3
HC3,Công ty Cổ phần Xây dựng số 3 Hải Phòng
HC1,Công ty Cổ phần Xây dựng số 1 Hà Nội
HBS,Công ty Cổ phần Chứng khoán Hòa Bình
HBH,Công ty Cổ phần HABECO - Hải Phòng
HBD,Công ty Cổ phần Bao bì PP Bình Dương
HBC,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình
HAX,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh
HAW,
HAV,Công ty Cổ phần Rượu Hapro
HAT,Công ty Cổ phần Thương mại Bia Hà Nội
HAS,Công ty Cổ phần Hacisco
HAR,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền
HAP,Công ty Cổ phần Tập Đoàn Hapaco
HAN,Tổng Công ty Xây dựng Hà Nội - CTCP
HAM,Công ty Cổ phần Vật tư Hậu Giang
HAI,Công ty Cổ phần Nông dược HAI
HAH,Công ty Cổ phần Vận tải và Xếp dỡ Hải An
HAG,Công ty Cổ phần Hoàng Anh Gia Lai
HAF,Công ty Cổ phần Thực phẩm Hà Nội
HAD,Công ty Cổ phần Bia Hà Nội - Hải Dương
HAC,Công ty Cổ phần Chứng khoán Hải Phòng
HAB,
H11,Công ty Cổ phần Xây dựng HUD101
GVT,Công ty Cổ phần Giấy Việt Trì
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần
GTT,Công ty Cổ phần Thuận Thảo
GTS,Công ty Cổ phần Công trình Giao thông Sài Gòn
GTK,
GTH,Công ty Cổ phần Xây dựng Giao thông Thừa Thiên Huế
GTD,Công ty Cổ phần Giầy Thượng Đình
GTA,Công ty Cổ phần Chế biến Gỗ Thuận An
GSP,Công ty Cổ phần Vận tải Sản phẩm Khí Quốc tế
GSM,Công ty Cổ phần Thủy điện Hương Sơn
GQN,
GPC,Công ty Cổ phần Tập đoàn Green+
GND,Công ty Cổ phần Gạch ngói Đồng Nai
GMX,Công ty Cổ phần Gạch ngói Gốm xây dựng Mỹ Xuân
GMH,Công ty Cổ phần Minh Hưng Quảng Trị
GMD,Công ty Cổ phần Gemadept
GMC,Công ty Cổ phần Garmex Sài Gòn
GMA,Công ty Cổ phần G-Automobile
GLW,Công ty Cổ phần Cấp thoát nước Gia Lai
GLT,Công ty Cổ phần Kỹ thuật điện Toàn Cầu
GLC,Công ty Cổ phần Vàng Lào Cai
GKM,Công ty Cổ phần GKM Holdings
GIL,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh
GIC,Công ty Cổ phần VSC Green Logistics
GHC,Công ty Cổ phần Thủy điện Gia Lai
GH3,Công ty Cổ phần Công trình giao thông Hà Nội
GGG,Công ty Cổ phần Ô tô Giải Phóng
GEX,Công ty Cổ phần Tập đoàn Gelex
GER,Công ty Cổ phần Thể thao Ngôi sao Geru
GEG,Công ty Cổ phần Điện Gia Lai
GEE,Công ty Cổ phần Điện lực Gelex
GE2,Tổng Công ty Phát điện 2
GDW,Công ty Cổ phần Cấp nước Gia Định
GDT,Công ty Cổ phần Chế biến Gỗ Đức Thành
GDA,Công ty Cổ phần Tôn Đông Á
GCF,Công ty Cổ phần Thực phẩm G.C
GCB,Công ty Cổ phần PETEC Bình Định
GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần
GAB,Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC
G36,Tổng Công ty 36 - Công ty Cổ phần
G20,Công ty Cổ phần Đầu tư Dệt may Vĩnh Phúc
FTS,Công ty Cổ phần Chứng khoán FPT
FTM,Công ty Cổ phần Đầu tư và Phát triển Đức Quân
FTI,Công ty Cổ phần Công nghiệp - Thương mại Hữu Nghị
FT1,Công ty Cổ phần Phụ tùng máy số 1
FSO,Công ty Cổ phần Cơ khí đóng tàu thủy sản Việt Nam
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT
FRM,Công ty Cổ phần Lâm nghiệp Sài Gòn
FRC,Công ty Cổ phần Lâm đặc sản xuất khẩu Quảng Nam
FPT,Công ty Cổ phần FPT
FOX,Công ty Cổ phần Viễn thông FPT
FOC,Công ty Cổ phần Dịch vụ Trực tuyến FPT
FMC,Công ty Cổ phần Thực phẩm Sao Ta
FLC,Công ty Cổ phần Tập đoàn FLC
FIT,Công ty Cổ phần Tập đoàn F.I.T
FIR,Công ty Cổ phần Địa ốc First Real
FID,Công ty Cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam
FIC,Tổng Công ty Vật liệu Xây dựng số 1 - Công ty Cổ phần
FHS,Công ty Cổ phần Phát hành sách Thành phố Hồ Chí Minh - FAHASA
FHN,Công ty Cổ phần Xuất nhập khẩu Lương thực - Thực phẩm Hà Nội
FGL,Công ty Cổ phần Cà phê Gia Lai
FDG,Công ty Cổ phần Docimexco
FDC,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh
FCS,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh
FCN,Công ty Cổ phần FECON
FCM,Công ty Cổ phần Khoáng sản FECON
FCC,Công ty Cổ phần Liên hợp Thực phẩm
FBC,Công ty Cổ phần Cơ khí Phổ Yên
FBA,Công ty Cổ phần Tập đoàn Quốc tế FBA
EVS,Công ty Cổ phần Chứng khoán Everest
EVG,Công ty Cổ phần Tập đoàn Everland
EVF,Công ty Tài chính Cổ phần Điện Lực
EVE,Công ty Cổ phần Everpia
EPH,Công ty Cổ phần Dịch vụ Xuất bản Giáo dục Hà Nội
EPC,Công ty Cổ phần Cà Phê Ea Pốk
EMS,Tổng Công ty Chuyển phát nhanh Bưu điện - Công ty Cổ phần
EMG,Công ty Cổ phần Thiết bị Phụ tùng Cơ điện
EME,Công ty Cổ phần Điện Cơ
EMC,Công ty Cổ phần Cơ điện Thủ Đức
ELC,Công ty Cổ phần Công nghệ - Viễn thông ELCOM
EIN,Công ty Cổ phần Đầu tư - Thương Mại - Dịch vụ Điện lực
EID,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội
EIC,Công ty Cổ phần EVN Quốc Tế
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam
EFI,Công ty Cổ phần Đầu tư Tài chính Giáo dục
ECO,Công ty Cổ Phần Nhựa Sinh Thái Việt Nam
ECI,Công ty Cổ phần Tập đoàn ECI
EBS,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội
EAD,Công ty Cổ phần Thủy điện Điện lực Đắk Lắk
E29,Công ty cổ phần Đầu tư Xây dựng và Kỹ thuật 29
E12,Công ty Cổ phần Xây Dựng Điện VNECO 12
DZM,Công ty Cổ phần Cơ điện Dzĩ An
